task,model,metric_name,metric,higher_is_better,last_train_loss,train_seconds,parameters
sphere_segmentation,monai_unet,dice,0.35204803198575974,True,0.40395912528038025,0.2971229860559106,4744
sphere_segmentation,adm_unet,dice,0.9316792115569115,True,0.024455243721604347,2.6508438382297754,122489
bias_field_denoising,monai_unet,mse,0.025526695419102907,False,0.02568453550338745,0.2383517292328179,4744
bias_field_denoising,adm_unet,mse,0.003336471156217158,False,0.0025144792161881924,2.5304005946964025,122489
contrast_translation,monai_unet,mse,0.026569283567368984,False,0.027890430763363838,0.23550650291144848,4744
contrast_translation,adm_unet,mse,0.003231729060644284,False,0.0034303662832826376,2.5480492119677365,122489
